geneID	flhDCn	flhDCp
b0198	66.14132439	67.826867
b0555	2.227187012	44.70755823
b4009	0	0
b2346	241.2356654	173.5539502
b0684	452.0704292	404.5680208
b2467	64.36968178	122.7467057
b1447	45.42188827	33.61371325
b1358	1.87291309	1.607158176
b2217	396.972992	309.1076204
b2358	0	0.96020891
b3795	96.60096544	97.11827262
b3309	898.3775465	898.8835677
b2954	51.74915624	47.49639427
b2207	9.002752696	0.643776428
b0522	39.16703195	54.10615376
b2908	162.9892024	135.9912162
b0838	142.7804989	105.1727386
b4703	161.9695241	236.0513571
b1288	876.5874184	539.1664305
b1983	201.9830976	267.3800142
b4302	8.069133898	9.442054283
b1250	53.32156685	299.2543903
b2166	4.205107416	3.969271227
b2642	90.28957892	62.93594633
b2326	55.41366468	37.14906603
b1950	10.48259449	99.2496851
b3383	55.96413155	57.21509714
b4251	16.00489368	29.75677713
b0839	427.4025037	293.85745
b1162	57.57826096	53.16960076
b3556	52708.28518	53234.83399
b4186	2.994730106	19.27347163
b0435	6282.132156	2763.671473
b1223	682.6259622	295.593277
b4568	4923.638793	2998.376793
b2380	11.47771439	11.11026175
b2696	15624.20954	9537.693155
b1434	10.32718	12.34324415
b1850	341.0837296	331.1778479
b3766	134.4411069	92.70380569
b0218	1.331499558	3.332489747
b1486	4.491695969	3.98726046
b1080	45.60082823	413.4381474
b2704	20.44496096	22.84367972
b1665	0	0
b0743	1027.83006	1051.049727
b2916	129.3818419	119.7683396
b1778	264.8461972	306.6615021
b2810	95.12162185	111.8953896
b1780	74.47972219	59.53295243
b0953	25849.73243	24651.85487
b2623	24.17290839	27.52699211
b0157	25.13845561	57.1970596
b2584	107.7163628	56.20523857
b0345	1763.415639	1762.185499
b3362	9.431455205	5.058243366
b1582	24.22759135	26.50705147
b0008	1103.8243	966.2962723
b3602	432.1321294	360.0465989
b1004	1405.599628	555.1358548
b2559	175.7394487	253.2493845
b4625	0	0
b0037	4.282390472	7.874454537
b2189	8.231088179	11.03616734
b4606	2735.876526	1447.466922
b3117	14.40440431	9.442054283
b0560	0.290198622	0
b0466	129.1061424	119.5993542
b1227	133.6762713	74.95152825
b1500	0	1.716737142
b0897	1627.950396	1402.212827
b4640	12.48561875	7.015109749
b1918	38.13183862	89.17025255
b3427	20.25824899	30.26631099
b0702	1.938207308	1.039492215
b3066	189.1217437	205.0969935
b4312	0	0
b0344	19.2199255	328.2518657
b3779	148.2053155	139.1701577
b1803	7.709189472	10.73227288
b4070	0	0
b0889	274.0037798	248.5835382
b0924	97.21439154	151.9745307
b3704	88.46704983	80.2574614
b1176	76.49235394	56.16394358
b4383	602.9843695	555.9703728
b2353	29.94730106	19.85751622
b0974	3.580755875	4.320940096
b1381	21.96671658	23.24032906
b4654	4.860381824	6.256085046
b1351	0.574088578	1.231572298
b4459	7.922422373	18.20967612
b0490	53.51724848	55.90030367
b4398	18.83010535	21.9219869
b0845	23.0661098	18.41552026
b2769	7.177107376	14.01503528
b3255	364.3305066	196.6593472
b2578	36.37847008	25.14669559
b3582	2.024312337	5.329661302
b2880	2.031390352	3.050509845
b0514	5.530486822	7.266921359
b3501	16.11340144	20.16438711
b1304	1419.641247	1641.90126
b1996	0.524663733	0
b0659	91.7511309	55.5628579
b1587	3.656000436	3.221269446
b1828	5.07404053	6.308446748
b1530	48.8094068	46.49397764
b2906	59.00657062	84.48401687
b3025	25.68785436	32.18882142
b4551	53.60444988	257.8949155
b3754	33.73132215	30.2304427
b2957	139.8341599	102.4287035
b0487	229.5172364	190.785038
b1558	80.34005786	118.0921719
b0876	26.742354	36.06079321
b0751	99.47041423	105.0428539
b3143	1.365934892	1.465146354
b3163	1471.153551	1754.493721
b1475	9.309965274	10.56229801
b3081	136.9452901	106.9912421
b0902	292.7340412	295.6471572
b3120	2.640807458	1.888410857
b4279	31.74172511	118.1884726
b0300	12.0457884	9.939004508
b4587	9.729290633	17.641733
b3308	2020.511128	2185.520831
b1322	38.79152197	468.2618785
b1600	74.02919266	54.33050907
b2731	22.40685115	13.81564653
b1120	80.41965097	82.2974114
b3551	58.51866397	101.6537875
b1050	17.37373327	26.83531217
b2359	3.928473904	6.086613505
b4332	0	0
b0981	18.08971271	52.28846017
b0491	27.42376975	24.83986588
b0394	86.98105091	49.73438494
b4468	34.90981938	35.34717757
b0409	355.8569555	310.0141156
b3892	113.85368	132.010608
b4628	0	0
b1365	4.201284591	3.86265857
b4415	2.071221535	8.886639325
b2070	5.778037889	8.554588472
b3876	6.997011212	12.1051978
b4176	6.401957473	11.15879143
b1547	0.16453629	2.117843951
b3545	8.231088179	13.24340081
b0708	86.31476383	77.49271612
b1255	86.89108409	87.03441972
b2314	200.0322029	232.7615916
b3677	47.8866419	1690.505399
b1968	13.87444095	12.1308512
b4411	3011.598382	1249.819675
b4449	4.553116306	8.790878125
b3919	2306.786577	744.2256692
b2402	93.81815967	156.539321
b2040	36.97130441	27.00427525
b4699	15.58509319	8.358539857
b1910	0	0
b1555	0.507847588	1.634201703
b0360	0	0
b2324	29.36862105	27.01359028
b0883	28.80880863	38.6265857
b3636	179.1976489	289.3315205
b3445	0	0
b1466	3.41483723	4.883821181
b1374	0	0
b1287	12.22075792	24.71005695
b3633	70.29755063	62.6367263
b0914	72.38439652	41.00734381
b2319	73.13005267	79.95017561
b3930	29.39928043	25.30103866
b3125	47.26597754	53.77169897
b3974	47.65116296	55.58004193
b3149	162.2018794	215.1062925
b4504	0	0
b2510	123.2376814	192.7752749
b3884	54.22726764	71.35598275
b4010	0	0
