geneID	flhDCn	flhDCp
b2263	0	0
b2751	490	400
b1946	146	1004
b3785	637	444
b3704	201	170
b3588	1587	534
b0733	4353	2938
b4118	170	105
b0424	269	201
b3391	42	250
b0301	12	13
b1586	629	289
b3315	2708	2633
b0004	821	647
b3229	2735	2012
b2542	26	285
b1647	865	576
b0161	12888	8092
b3495	4468	2813
b0132	99	153
b3852	0	0
b3887	595	479
b4158	25	44
b0269	37761	19978
b2044	23	27
b3800	158	254
b0622	553	247
b3427	28	39
b1614	4702	2224
b0630	158	206
b1400	359	298
b3593	11	60
b2095	3137	2132
b3522	1119	514
b4414	46	45
b3712	619	531
b3199	237	342
b3542	431	1022
b2597	83040	61711
b1549	9	16
b3161	370	442
b0091	1471	1132
b0740	3413	3102
b1067	203	458
b2900	314	313
b1476	58	74
b0569	136	138
b2203	87	24
b2558	89	103
b3983	5490	5092
b1331	1	1
b1841	526	383
b2483	3	8
b1430	126	251
b4420	1	0
b1902	268	199
b2469	251	240
b3053	981	919
b2937	1663	1821
b0877	2733	1980
b0644	24	44
b2803	30	214
b3019	1756	1835
b3657	26	89
b2319	468	477
b3118	612	134
b4426	15	4
b4535	55	43
b3586	59	53
b1050	25	36
b2710	101	71
b0921	280	375
b4446	329	276
b0249	0	8
b2579	33352	34657
b0272	115	157
b2366	114	344
b1694	4	62
b2625	6	21
b4664	0	0
b1079	238	2300
b2553	846	1263
b3548	579	285
b2992	117	144
b0320	19	10
b4566	31	19
b1306	233	272
b1855	341	275
b4056	365	145
b3042	646	964
b1139	0	0
b3883	55	70
b1621	92	141
b1519	470	234
b1626	637	500
b0106	42	136
b0940	14	55
b3952	27	331
b0250	494	785
b4569	14	85
b0076	0	0
b1391	2	6
b2398	339	3499
b2076	430	560
b1583	433	476
b3050	153	112
b2563	83	48
b2582	477	579
b2682	439	487
b4637	31	33
b0018	1	3
b0021	1	4
b3154	165	190
b3719	35	39
b1576	0	0
b3395	53	520
b4651	13	15
b0120	708	411
b3345	68	61
b1994	0	2
b0095	4732	4079
b0848	133	93
b1454	200	176
b3228	1326	1054
b0561	2	6
b4025	4095	2056
b2053	67	33
b3465	266	236
b2113	1800	2163
b0412	178	50
b2476	183	157
b3866	575	299
b2969	16	29
b3518	100	133
b1144	0	0
b3127	153	58
b3220	140	235
b0612	61	432
b4099	5	4
b4632	0	0
b3594	87	155
b3243	159	401
b2260	0	0
b4702	1953	2300
b2605	31	49
b3178	17030	17924
b2134	174	206
b2673	47	51
b0433	398	397
b3938	1684	1269
b0394	499	266
b0543	134	88
b3515	1881	638
b4210	268	383
b1890	635	3840
b3855	0	0
b2193	654	613
b1713	3156	1561
b1467	43	58
b3103	1192	734
b2690	374	364
b3464	1502	2534
b2981	23	78
b1960	55	87
b4442	73	91
b1548	0	0
b1259	2206	804
b2531	372	489
b1436	803	592
b4672	18	17
b1782	1761	1060
b2968	34	70
b3308	6886	6944
b4386	252	172
b1314	14	48
b1662	943	1006
b2895	714	589
b4443	1095	930
b1641	22617	16161
b3993	56	26
b0602	8	8
b2213	527	374
b4520	34	55
b1287	87	164
b2038	183	115
b3137	34	21
b1386	37	137
b0416	718	663
b3798	0	0
b4330	0	0
b1206	191	531
b2417	4319	2929
b1553	0	0
b4037	1282	521
b0875	137	131
b4659	179	152
b4532	6	31
b3400	272	250
b1480	13616	11666
b2919	16	22
b1120	370	353
b2361	4	2
b4235	1103	1486
b1673	22	16
b2602	164	63
b4430	11	24
b4295	551	1161
b0300	52	40
b1319	3	7
b3226	639	454
b1686	118	640
b2977	180	163
b4088	49	19
b3684	19	68
b0303	3	1
b0705	0	0
b0280	395	611
b0766	109	217
b3106	23	30
b2408	56	41
b0956	492	442
b0800	772	638
b0453	11174	4318
b2081	269	228
b0498	18	10
b2737	73	128
b1798	113	75
b1040	16	9
b2648	3	8
b4694	25	31
b3632	555	479
b0700	68	64
b1257	583	150
b1957	172	118
b3511	1505	410
b0331	0	0
b0883	16	20
b4159	1229	2840
b2535	2470	936
b3289	402	366
b2891	842	1071
b3955	493	348
b3578	14	30
b1491	94	165
b0178	2558	2486
b1892	237	137
b0792	323	148
b2894	514	1641
b1513	69	32
b1814	3775	2004
b2066	168	265
b4240	9041	2347
b1022	3	22
b3861	70	83
b2843	53	92
b0867	788	612
b3056	1715	1224
